name,fighter_skill_summary,url,fighter_skill_record,quote,fighter_nickname,fighter_degree,fighter_lives_in,fighter_reach,fighter_weight,fighter_leg_reach,image,fighter_age,fighter_height,fighter_from,fighter_college
Alex Reyes,Striking and Grappling,http://www.ufc.com/fighter/alex-reyes,,,The Executioner,,"Victorville, CA, Hollywood, CA United States","73""",170 lb ( 77 kg ),,//media.ufc.tv/fighter_images//Alex_Reyes/REYES_ALEX.png,31,"5' 11"" ( 180 cm )","Hollywood, California United States",
Mike Pyle,Striking and jiu-jitsu,http://www.ufc.com/fighter/mike-Pyle,27-14-1,,Quicksand,,"Las Vegas, Nevada United States","74""",170 lb ( 77 kg ),"41""",//media.ufc.tv/fighter_images//Mike_Pyle/PYLE_MIKE.png,42,"6' 0"" ( 182 cm )","Dresden, Tennessee United States",
CM Punk,Jiu-jitsu,http://www.ufc.com/fighter/cm-punk,0-1-0,,,,"Chicago, Illinois USA","73""",170 lb ( 77 kg ),"41""",//media.ufc.tv/fighter_images/CM_Punk/PUNK_CM.png,39,"6' 1"" ( 185 cm )","Chicago, Illinois USA",
Sergio Pettis,"Standup, Anthony Pettis' little brother",http://www.ufc.com/fighter/sergio-Pettis,16-3-0,,,,"Milwaukee, Wisconsin United States","69""",125 lb ( 56 kg ),"38""",//media.ufc.tv/fighter_images/Sergio_Pettis/PETTIS_SERGIO.png,24,"5' 6"" ( 167 cm )","Milwaukee, Wisconsin United States",
Alexandre Pantoja,"Aggressive style, my family",http://www.ufc.com/fighter/alexandre-Pantoja,18-3-0,,The Cannibal,,Arraial Do Cabo Brazil,"67""",125 lb ( 56 kg ),"36""",//media.ufc.tv/fighter_images/Alexandre_Pantoja/PANTOJA_ALEXANDRE.png,28,"5' 5"" ( 165 cm )",Rio de Janeiro Brazil,
Alex Perez,Freestyle,http://www.ufc.com/fighter/alex-Perez,20-4-0,,,,"Lemoore, California United States","65""",125 lb ( 56 kg ),"38""",//media.ufc.tv/fighter_images/Alex_Perez/PEREZ_ALEX.png,26,"5' 6"" ( 167 cm )","Hanford, California United States",
Said Nurmagomedov,,http://www.ufc.com/fighter/said-Nurmagomedov,11-1-0,,,,,,125 lb ( 56 kg ),,//media.ufc.tv/NONEVENT/SILHOUETTE.png,26,"5' 8"" ( 172 cm )",,
Dustin Ortiz,Unmatched pace,http://www.ufc.com/fighter/dustin-Ortiz,18-7-0,,,,"Franklin, Tennessee United States","65""",125 lb ( 56 kg ),"35""",//media.ufc.tv/fighter_images/Dustin_Ortiz/ORTIZ_DUSTIN.png,29,"5' 5"" ( 165 cm )","Goshen, Indiana United States",
Manny Vazquez,Grappler,http://www.ufc.com/fighter/manny-Vazquez,11-2-0,,,,"Elmhurst, Illinois United States","72""",125 lb ( 56 kg ),"39""",,,"5' 10"" ( 177 cm )",,
Nick Urso,Heart and skill,http://www.ufc.com/fighter/nick-Urso,"10-4-0, 1NC",,,,"Albuquerque, New Mexico United States","66""",125 lb ( 56 kg ),,,32,"5' 6"" ( 167 cm )","Chicago, Illinois United States",
Neil Seery,Boxing,http://www.ufc.com/fighter/neil-Seery,16-13-0,,2Tap,,Dublin Ireland,"64""",125 lb ( 56 kg ),"38""",//media.ufc.tv/fighter_images/Neil_Seery/SEERY_NEIL.png,38,"5' 4"" ( 162 cm )",Dublin Ireland,
Louis Smolka,Grappling,http://www.ufc.com/fighter/louis-Smolka,11-5-0,,Da Last Samurai,,"Kapolei, Hawaii  United States","68""",125 lb ( 56 kg ),"37""",//media.ufc.tv/fighter_images/Louis_Smolka/SMOLKA_LOUIS.png,26,"5' 9"" ( 175 cm )","Honolulu, Hawaii United States",
Eric Shelton,Striking,http://www.ufc.com/fighter/eric-shelton,11-5-0,,Showtime,,"Davenport, Iowa United States","68""",125 lb ( 56 kg ),"36""",//media.ufc.tv/fighter_images/Eric_Shelton/SHELTON_ERIC-02-26-18.png,27,"5' 6"" ( 167 cm )","Lawton, Oklahoma  United States",
Matt Schnell,"Heavy hands, submissions for days",http://www.ufc.com/fighter/matt-schnell,11-4-0,,Danger,,"Shreveport, Louisiana  United States","70""",125 lb ( 56 kg ),"38""",//media.ufc.tv/fighter_images/Matt_Schnell/SCHNELL_MATT.png,28,"5' 8"" ( 172 cm )","Amory, Massachusetts  United States",
Tony Ferguson,"Wrestling, Boxing, Ground & Pound, Conditioning",http://www.ufc.com/fighter/tony-Ferguson,25-3-0,,El Cucuy,,"Orange County, California United States","76""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Tony_Ferguson/FERGUSON_TONY.png,34,"5' 11"" ( 180 cm )","Oxnard, California United States",
Matheus Nicolau,"Jiu-Jitsu black belt, boxing",http://www.ufc.com/fighter/matheus-nicolau,13-2-1,,,,Rio de Janerio Brazil,"66""",125 lb ( 56 kg ),"38""",//media.ufc.tv/fighter_images/Matheus_Nicolau/NICOLAU_MATHEUS.png,25,"5' 4"" ( 162 cm )",Belo Horizonte Brazil,
Ben Nguyen,Having no weaknesses,http://www.ufc.com/fighter/ben-nguyen,17-7-0,,10,,Brisbane Australia,"65""",125 lb ( 56 kg ),"39""",//media.ufc.tv/fighter_images/Ben_Nguyen/NGUYEN_BEN.png,29,"5' 5"" ( 165 cm )","Sioux Falls, South Dakota United States",
Brandon Moreno,Jiu-jitsu,http://www.ufc.com/fighter/brandon-moreno,14-4-0,,The Assassin Baby,,Tijuana Mexico,"70""",125 lb ( 56 kg ),"38""",//media.ufc.tv/fighter_images/Brandon_Moreno/MORENO_BRANDON.png,24,"5' 7"" ( 170 cm )",Tijuana Mexico,
Ashkan Mokhtarian,Power and looks,http://www.ufc.com/fighter/ashkan-Mokhtarian,13-3-0,,The Assassin,,"Wentworthville, Sydney Australia","67""",125 lb ( 56 kg ),"38""",//media.ufc.tv/fighter_images/Ashkan_Mokhtarian/MOKHTARIAN_ASHKAN.png,32,"5' 6"" ( 167 cm )",Tehran Iran,
John Moraga,"I come from the hood – WS Maryvale, Phoenix, wrestling, submisions",http://www.ufc.com/fighter/john-Moraga,19-6-0,,Chicano,,"Phoenix, Arizona United States","66""",125 lb ( 56 kg ),"37""",//media.ufc.tv/fighter_images/John_Moraga/MORAGA_JOHN.png,34,"5' 6"" ( 167 cm )","Phoenix, Arizona United States",Arizona State University
Ian McCall,"Sets a fast pace, explosiveness, ground and pound, winning",http://www.ufc.com/fighter/ian-McCall,13-5-1,,Uncle Creepy,,"Irvine, California United States","64""",125 lb ( 56 kg ),"37""",//media.ufc.tv/fighter_images/Ian_McCall/MCCALL_IAN.png,33,"5' 5"" ( 165 cm )","Newport Beach, California United States",
Ricky Rainey,Striking and clinch,http://www.ufc.com/fighter/ricky-rainey,13-5-0,,The Sniper,,"Gastonia, North Carolina United States","77""",170 lb ( 77 kg ),"43""",//media.ufc.tv/fighter_images/Rickey_Rainey/RAINEY_RICKY.png,34,"6' 1"" ( 185 cm )","Gastonia, North Carolina United States",
Jenel Lausa,"Knockout power, wrestling",http://www.ufc.com/fighter/jenel-lausa,7-4-0,,The Demolition Man,,Manila Philippines,"68""",125 lb ( 56 kg ),"35""",//media.ufc.tv/fighter_images/Jenel_Lausa/LAUSA_JENEL.png,29,"5' 5"" ( 165 cm )","Concepcion, Iloilo Philippines",
Demetrious Johnson,"Speed, conditioning & technique",http://www.ufc.com/fighter/demetrious-Johnson,27-2-1,,Mighty Mouse,,"Parkland, Washington United States","66""",125 lb ( 56 kg ),"34""",//media.ufc.tv/fighter_images/Demitrious_Johnson/JOHNSON_DEMETRIOUS_BELT_LS.png,31,"5' 3"" ( 160 cm )","Madisonville, Kentuky United States",
Yancy Medeiros,"Standup, fighting instinct",http://www.ufc.com/fighter/yancy-Medeiros,"15-5-0, 1NC",,,,"Makaha, Hawaii United States","75""",155 lb ( 70 kg ),"41""",//media.ufc.tv/fighter_images/Yancy_Medeiros/MEDEIROS_YANCY.png,30,"5' 10"" ( 177 cm )","Makaha, Hawaii United States",
Paul Felder,"Kicking game, pressure",http://www.ufc.com/fighter/paul-felder,15-3-0,,The Irish Dragon,,"Philadelphia, Pennsylvania United States","70""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Paul_Felder/FELDER_PAUL.png,33,"5' 11"" ( 180 cm )","Philadelphia, Pennsylvania United States",
Gilbert Melendez,"Ground and pound, cardio, transitions",http://www.ufc.com/fighter/gilbert-Melendez,22-7-0,,El Niño,,"San Francisco, California United States","73""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Gilbert_Melendez/MELENDEZ_GILBERT.png,36,"5' 9"" ( 175 cm )","Santa Ana, California United States",San Francisco State University
Jordan Mein,"Speed, experience",http://www.ufc.com/fighter/jordan-Mein,30-12-0,,Young Gun,,"Lethbridge, Alberta Canada","73""",170 lb ( 77 kg ),"41""",//media.ufc.tv/fighter_images/Jordan_Mein/MEIN_JORDAN.png,28,"6' 0"" ( 182 cm )","Lethbridge, Alberta Canada",
Dominique Steele,Ground-and-pound,http://www.ufc.com/fighter/dominique-steele,14-9-0,,“Non-Stop Action-Packed” Dom T. Steele,,"Cincinnati, Ohio United States","74""",170 lb ( 77 kg ),"40""",//media.ufc.tv/fighter_images/Dominique_Steele/STEELE_DOMINIQUE.png,30,"5' 10"" ( 177 cm )","Cincinnati, Ohio United States",
Mizuto Hirota,Striking,http://www.ufc.com/fighter/mizuto-hirota,19-9-2,,Pugnus,,Tokyo Japan,"67""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Mizuto_Hirota/HIROTA_MIZUTO.png,36,"5' 7"" ( 170 cm )",Nagasaki Japan,
Devin Powell,"Muay Thai, BJJ",http://www.ufc.com/fighter/devin-powell,8-3-0,,,,"South Berwick, Maine United States","73""",155 lb ( 70 kg ),"41""",//media.ufc.tv/fighter_images/Devin_Powell/POWELL_DEVIN.png,30,"6' 0"" ( 182 cm )","South Berwick, Maine United States",
Joseph Morales,Well-rounded,http://www.ufc.com/fighter/joseph-Morales,9-1-0,,Bopo,,"Sacramento, California United States","69""",125 lb ( 56 kg ),,//media.ufc.tv/fighter_images/Joseph_Morales/MORALES_JOSEPH.png,23,"5' 6"" ( 167 cm )","Clovis, California United States",
Andrew Holbrook,"Wrestling, boxing",http://www.ufc.com/fighter/andrew-holbrook,12-2-0,,,,"Indianapolis, Indiana United States","70""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Andrew_Holbrook/HOLBROOK_ANDREW.png,32,"5' 11"" ( 180 cm )","Adrian, Michigan United States",
Casey  Kenney,MMA,http://www.ufc.com/fighter/casey-Kenney,7-1-1,,,,"Tuscan, Arizona United States","68""",125 lb ( 56 kg ),,,27,"5' 7"" ( 170 cm )","Portland, Indiana United States",
Conor McGregor,My Belief,http://www.ufc.com/fighter/conor-McGregor,21-3-0,,The Notorious,,Dublin Ireland,"74""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Conor_McGregor/MCGREGOR_CONORnobelt.png,29,"5' 9"" ( 175 cm )",Dublin Ireland,
Marcin Held,Leg Locks,http://www.ufc.com/fighter/marcin-Held,23-7-0,,,,Tychy Poland,"71""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Marcin_Held/HELD_MARCIN.png,26,"5' 9"" ( 175 cm )",Tychy Poland,
Alexander Hernandez,"Striking, grappling",http://www.ufc.com/fighter/alexander-Hernandez,9-1-0,,The Great,,"San Antonio, Texas United States","72""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Alexander_Hernandez/HERNANDEZ_ALEXANDER.png,25,"5' 9"" ( 175 cm )","St. Louis, Missouri United States",
Scott Holtzman,"Athleticism, conditioning, clinch, elbows, Gray area transitions.",http://www.ufc.com/fighter/scott-holtzman,11-2-0,,Hot Sauce,,"Knoxville , Tennessee United States","69""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Scott_Holtzman/HOLTZMAN_SCOTT.png,34,"5' 9"" ( 175 cm )","Knoxville , Tennessee United States",
Nick Hein,"World Class judo, very explosive, no wasted movements",http://www.ufc.com/fighter/nick-Hein,"14-2-0, 1NC",,Sergeant,,Cologne Germany,"66""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Nick_Hein/HEIN_NICK.png,33,"5' 6"" ( 167 cm )",Elsdorf Germany,
Desmond Green,Wrestling,http://www.ufc.com/fighter/desmond-green,20-6-0,,The Predator,,"Fort Lauderdale, Florida United States","73""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Desmond_Green/GREEN_DESMOND.png,28,"5' 10"" ( 177 cm )","Rochester, New York United States",
Chris Gruetzemacher,Jiu-jitsu,http://www.ufc.com/fighter/chris-Gruetzemacher,14-3-0,,Gritz,,"New Bern, North Carolina United States","68""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Chris_Gruetzemacher/1GRUETZEMACHER_CHRIS.png,31,"5' 8"" ( 172 cm )","Page, Arizona United States",
Nasrat Haqparast,"Striking, wrestling and ground-and-pound",http://www.ufc.com/fighter/nasrat-Haqparast,8-2-0,,,,Hamburg Germany,"72""",155 lb ( 70 kg ),"41""",//media.ufc.tv/fighter_images/Nasrat_Haqparast/HAQPARAST_NASRAT.png,22,"5' 10"" ( 177 cm )",Hamburg Germany,
Bobby Green,"Slams, well-rounded finisher",http://www.ufc.com/fighter/bobby-Green,24-8-1,,King,,"Fontana, California United States","71""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Bobby_Green/GREEN_BOBBY.png,31,"5' 10"" ( 177 cm )","Fontana, California United States",
Damir Hadzovic,"Determination, will, stubbornness, speed",http://www.ufc.com/fighter/damir-Hadzovic,11-4-0,,,,Copenhagen Denmark,"70""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Damir_Hadzovic/HADZOVIC_DAMIR.png,31,"5' 9"" ( 175 cm )",Gorazde Bosnia,
Thibault Gouti,"Striking, mental game, intelligence",http://www.ufc.com/fighter/thibault-gouti,12-4-0,,GT,,Albuquerque New Mexico,"72""",155 lb ( 70 kg ),"41""",//media.ufc.tv/fighter_images/Thibault_Gouti/GOUTI_THIBAULT.png,31,"5' 10"" ( 177 cm )",Toulouse France,
Jason Gonzalez,"Jiu-jitsu, muay thai, boxing",http://www.ufc.com/fighter/jason-gonzalez,11-4-0,,Nicoya,,"Rancho Cucamonga, California United States","74""",155 lb ( 70 kg ),"43""",//media.ufc.tv/fighter_images//Jason_Gonzalez/1GONZALEZ_JASON.png,28,"6' 2"" ( 187 cm )","Torrance, California United States",
Takanori Gomi,"Punching power, wrestling, boxing, experience",http://www.ufc.com/fighter/takanori-Gomi,"35-14-0, 1NC",,The Fireball Kid,,Tokyo Japan,"70""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images//Takanori_Gomi/1GOMI_TAKANORI.png,39,"5' 8"" ( 172 cm )",Kanagawa Japan,
Jared Gordon,Boxing and carido,http://www.ufc.com/fighter/jared-gordon,14-2-0,,Flash,,"Astoria, New York United States","68""",155 lb ( 70 kg ),"38""",//media.ufc.tv/fighter_images/Jared_Gordon/GORDON_JARED.png,29,"5' 9"" ( 175 cm )","New York City, New York United States",
Gregor Gillespie,Wrestling,http://www.ufc.com/fighter/gregor-gillespie,11-0-0,,The Gift,,"Long Island, New York United States","71""",155 lb ( 70 kg ),"37""",//media.ufc.tv/fighter_images//Gregor_Gillespie/1GILLESPIE_GREGOR.png,31,"5' 9"" ( 175 cm )","Rochester, New York United States",
Justin Gaethje,"Striking, wrestling",http://www.ufc.com/fighter/justin-Gaethje,18-1-0,,The Highlight,,"Arvada, Colorado United States",,155 lb ( 70 kg ),,//media.ufc.tv/fighter_images/Justin_Gaethje/GAETHJE_JUSTIN.png,29,"5' 11"" ( 180 cm )","Safford, Arizona United States",
Matt Frevola,"Aggression, heart, pressure, well-rounded",http://www.ufc.com/fighter/matt-Frevola,6-0-0,,The SteamRolla,,"Long Island, New York United States","71""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Matt_Frevola/FREVOLA_MATT.png,27,"5' 9"" ( 175 cm )","Huntington, New York United States",
Luke Flores,,http://www.ufc.com/fighter/luke-Flores,7-1-0,,,,"Mission, Texas United States",,155 lb ( 70 kg ),,,30,"6' 0"" ( 182 cm )","Mission , Texas United States",
Diego Ferreira,"BJJ, ground game",http://www.ufc.com/fighter/carlos-Diego-Ferreira,13-2-0,,,,"Pharr, Texas USA","74""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Carlos_Diego_Ferreira/FERREIRA_DIEGO.png,33,"5' 9"" ( 175 cm )","Careiro da Várzea, Amazonas Brazil",
Frankie Perez,"Jiu-Jitsu, boxing",http://www.ufc.com/fighter/frankie-perez,10-4-0,,,,"Howell, New Jersey United States","73""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Frankie_Perez/PEREZ_FRANKIE.png,28,"5' 11"" ( 180 cm )","Wallington, New Jersey United States",
Vinc Pichel,"Physical strength, cardio, punching power",http://www.ufc.com/fighter/vinc-Pichel,11-1-0,,From Hell,,"Simi Valley, California United States","72""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Vincent_Pichel/PICHEL_VINC.png,35,"5' 10"" ( 177 cm )","Lancaster, California United States",
Anthony Pettis,"Excellent Standup, Strong Ground Game, Creativity",http://www.ufc.com/fighter/anthony-Pettis,20-7-0,,Showtime,,"Milwaukee, Wisconsin United States","72""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Anthony_Pettis/PETTIS_ANTHONY.png,31,"5' 10"" ( 177 cm )","Milwaukee, Wisconsin United States",
Dustin Poirier,"Fighting (verbally, physically and mentally)",http://www.ufc.com/fighter/dustin-Poirier,"23-5-0, 1NC",,The Diamond,,"Coconut Creek, Florida United States","72""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Dustin_Poirier/POIRIER_DUSTIN.png,29,"5' 9"" ( 175 cm )","Lafayette, Louisiana United States",
Alan Patrick,Jiu-jitsu,http://www.ufc.com/fighter/alan-Patrick,15-1-0,,Nuguette,,Rio de Janeiro Brazil,"74""",155 lb ( 70 kg ),"42""",//media.ufc.tv/fighter_images/Alan_Patrick/PATRICK_ALAN.png,34,"5' 11"" ( 180 cm )",Amazonas Brazil,
Ross Pearson,"Boxing, Thai boxing, wrestling, ground and pound",http://www.ufc.com/fighter/ross-Pearson,"22-14-0, 1NC",,The Real Deal,,Sunderland England,"69""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Ross_Pearson/PEARSON_ROSS.png,33,"5' 8"" ( 172 cm )",Sunderland England,
Teemu Packalen,"Technical and aggressive, a surprising ground game",http://www.ufc.com/fighter/teemu-packalen,8-2-0,,Pacu,,Turku Finland,"72""",155 lb ( 70 kg ),,//media.ufc.tv/fighter_images/Teemu_Packalen/PACKALEN_TEEMU.png,30,"6' 1"" ( 185 cm )",Turku Finland,
Charles Oliveira,Heart,http://www.ufc.com/fighter/charles-Oliveira,"22-8-0, 1NC","My nickname comes from the gym. People would see me and say, 'Here's the kid from Do Bronx.' In Portuguese that means 'the ghetto.'",Do Bronx,,"Houston , Texas United States","74""",155 lb ( 70 kg ),"41""",//media.ufc.tv/fighter_images/Charles_Oliveira/OLIVEIRA_CHARLES.png,28,"5' 10"" ( 177 cm )",Sao Paulo Brazil,
Khabib Nurmagomedov,Wrestling,http://www.ufc.com/fighter/khabib-Nurmagomedov,26-0-0,,The Eagle,,Dagestan Russia,"70""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Khabib_Nurmagomedov/1NURMAGOMEDOV_KHABIB.png,29,"5' 10"" ( 177 cm )",Dagestan Russia,
Dan Moret,Well-rounded,http://www.ufc.com/fighter/dan-moret,13-5-0,,The Hitman,,"Mankato, Minnesota United States","73""",155 lb ( 70 kg ),"42""",//media.ufc.tv/fighter_images/Dan_Moret/MORET_DAN.png,31,"6' 0"" ( 182 cm )","Mankato, Minnesota United States",
Jim Miller,"Submissions, Cardio, Wrestling",http://www.ufc.com/fighter/jim-Miller,"28-11-0, 1NC",,,,"Sparta, New Jersey United States","71""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Jim_Miller/1MILLER_JIM.png,34,"5' 8"" ( 172 cm )","Sparta, New Jersey United States",
Jon Tuck,All aspects of MMA,http://www.ufc.com/fighter/jon-Tuck,10-4-0,,The Super Saiyan,,Hagatna Guam,"73""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Jon_Tuck/TUCK_JOHN_singapore.png,33,"5' 11"" ( 180 cm )","Spokane, Washington United States",
Magomed Mustafaev,Freestyle wrestling and grappling,http://www.ufc.com/fighter/magomed-mustafaev,13-2-0,,,,"Albuquerque, New Mexico USA","71""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Magomed_Mustafaev/MUSTAFEV_MAGOMEDOV.png,29,"5' 9"" ( 175 cm )",Dagestan Russia,
Sage Northcutt,"Striking, power, speed, unconventional style/footwork",http://www.ufc.com/fighter/sage-northcutt,10-2-0,,Super,,"Katy, Texas United States","71""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Sage_Northcutt/NORTHCUTT_SAGE.png,22,"6' 0"" ( 182 cm )","Houston, Texas United States",
Nad Narimani,"Boxing, grappling, wrestling",http://www.ufc.com/fighter/nad-Narimani,10-2-0,,Smiler,,Bristol England,"70""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Nad-Narimani/NARIMANI_NAD.png,31,"5' 8"" ( 172 cm )",Bristol England,
Abel Trujillo,Explosive,http://www.ufc.com/fighter/abel-Trujillo,"15-8-0, 1NC",,Killa,Sports Administration,"Boca Raton, Florida United States","70""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Abel_Trujillo/TRUJILLO_ABEL.png,34,"5' 8"" ( 172 cm )","Greensboro, North Carolina United States",William Penn University
Daniel Teymur,"Heart, power",http://www.ufc.com/fighter/daniel-Teymur,6-1-0,,Kid Dynamite,,Stockholm Sweden,"69""",155 lb ( 70 kg ),"38""",//media.ufc.tv/fighter_images/Daniel_Teymur/TEYMUR_DANIEL.png,30,,Stockholm Sweden,
Mairbek Taisumov,Striking,http://www.ufc.com/fighter/mairbek-Taisumov,26-5-0,,Beckan,,Vienna Austria,"73""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Maribek_Taisumov/TAISUMOV_MAIRBEK.png,29,"5' 9"" ( 175 cm )","Grozny, Chechen Republic Russia",
Dmitry Sosnovskiy,"ground-and-pound, takedowns",http://www.ufc.com/fighter/dmitry-Sosnovskiy,10-0-0,,,,Moscow Russia,"77""",240 lb ( 109 kg ),"45""",//media.ufc.tv/fighter_images/Dmitry_Sosnovskiy/SOSNOVSKIY_DMITRY.png,28,"6' 3"" ( 190 cm )",Yalta USSR,
Francisco Trinaldo,"Punching power, heart",http://www.ufc.com/fighter/francisco-Trinaldo,22-6-0,,Massaranduba,,"Brasilia, Distrito Federal Brazil","70""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Francisco_Trinaldo/TRINALDO_FRANCISCO.png,39,"5' 9"" ( 175 cm )","Amarante, Piaui Brazil",
Gleison Tibau,BJJ,http://www.ufc.com/fighter/gleison-Tibau,40-13-0,,,,"Coconut Creek, Florida United States","71""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Gleison_Tibau/TIBAU_GLEISON.png,34,"5' 10"" ( 177 cm )",Rio Grande Norte Brazil,
David Teymur,Striking,http://www.ufc.com/fighter/david-Teymur,7-1-0,,,,Stockholm Sweden,"73""",155 lb ( 70 kg ),"41""",//media.ufc.tv/fighter_images/David_Teymur/TEYMUR_DAVID.png,28,"5' 9"" ( 175 cm )",Järfälla Sweden,
Joaquim Silva,Boxing,http://www.ufc.com/fighter/joaquim-silva,10-1-0,,Netto BJJ,,Curitiba Brasil,"69""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Joaquim_Silva/SILVA_JOAQUIM.png,29,"5' 8"" ( 172 cm )","Anapolis, Goias Brazil",
Leonardo Santos,"Jiu-Jitsu specialist, good cardio, excellent submissions",http://www.ufc.com/fighter/leonardo-santos,16-4-1,,,,"Campos, Rio de Janeiro Brazil","75""",155 lb ( 70 kg ),"42""",//media.ufc.tv/fighter_images/Leonardo_Santos/SANTOS_LEONARDO.png,38,"6' 0"" ( 182 cm )",Rio de Janeiro Brazil,
Jordan Rinaldi,"Grappling, timing",http://www.ufc.com/fighter/jordan-rinaldi,13-6-0,,,,"Charlotte, North Carolina United States","72""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Jordan_Rinaldi/RINALDI_JORDAN.png,30,"5' 10"" ( 177 cm )","Olean, New York United States",
Marco Polo Reyes,Striking,http://www.ufc.com/fighter/polo-reyes,7-5-0,,El Toro,,"Tepic, Nayarit Mexico","71""",155 lb ( 70 kg ),"41""",//media.ufc.tv/fighter_images/Polo_Reyes/REYES_MARCO_POLO.png,33,"5' 11"" ( 180 cm )","Mexicali, Baja California Mexico",
Michael McBride,Jiu-jitsu,http://www.ufc.com/fighter/michael-mcbride,8-3-0,,,,"Webster City, Iowa United States","75""",155 lb ( 70 kg ),"42""",//media.ufc.tv/fighter_images/Michael_McBride/MCBRIDE_MICHAEL.png,32,"6' 1"" ( 185 cm )","Webster City, Iowa United States",
Jason Saggo,Grappling,http://www.ufc.com/fighter/jason-Saggo,12-4-0,,,,"Charlottetown, Prince Edward Island Canada","71""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images//Jason-Saggo/1SAGGO_JASON.png,32,"5' 11"" ( 180 cm )",Toronto Canada,
Felipe Silva,Striking,http://www.ufc.com/fighter/felipe-silva,8-1-0,,,,"Juiz de Fora, Minas Gerais Brazil","77""",155 lb ( 70 kg ),"42""",//media.ufc.tv/fighter_images/Felipe_Silva/SILVA_FELIPE.png,33,"6' 0"" ( 182 cm )","Juiz de Fora, Minas Gerais Brazil",
Tiequan Zhang,"Heart, Strength, Submissions",http://www.ufc.com/fighter/tiequan-Zhang,18-4-0,,The Wolf,Sports Education,Beijing China,,155 lb ( 70 kg ),,//media.ufc.tv/fighter_images/Tiequan_Zhang/TiequanZhang_Headshot.png,39,"5' 8"" ( 172 cm )",Inner Mongolia China,Xi'an Sports University
Diego Sanchez,"Excellent grappling skills, conditioning, aggression",http://www.ufc.com/fighter/diego-Sanchez,29-11-0,,Nightmare,,"Albuquerque, New Mexico United States","72""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Diego_Sanchez/SANCHEZ_DIEGO.png,36,"5' 10"" ( 177 cm )","Albuquerque, New Mexico United States",
Adriano Martins,Jiu-jitsu,http://www.ufc.com/fighter/adriano-Martins,28-9-0,,,,"Manaus, Amazonas Brazil","72""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Adriano_Martins/MARTINS_ADRIANO.png,35,"5' 10"" ( 177 cm )","Manaus, Amazonas Brazil",
Stevie Ray,"Strong, athletic and good all-round",http://www.ufc.com/fighter/stevie-ray,21-7-0,,Braveheart,,Fife Scotland,"70""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Stevie_Ray/RAY_STEVIE.png,28,"5' 10"" ( 177 cm )",Fife Scotland,
Lando Vannata,"Powerful, Athletic, Creative",http://www.ufc.com/fighter/landon-Vannata,9-2-1,,Groovy,,"Albuquerque, New Mexico United States","71""",155 lb ( 70 kg ),"39""",//media.ufc.tv/fighter_images/Landon_Vannata/VANNATA_LANDO.png,26,"5' 9"" ( 175 cm )","Neptune, New Jersey United States",
