name,fighter_skill_summary,url,fighter_skill_record,quote,fighter_nickname,fighter_degree,fighter_lives_in,fighter_reach,fighter_weight,fighter_leg_reach,image,fighter_age,fighter_height,fighter_from,fighter_college
Clay Guida,"Wrestling, solid chin, great flexibility and endurance, quality training partners",http://www.ufc.com/fighter/clay-Guida,34-14-0,,The Carpenter,,"Johnsburg, Illinois United States","70""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Clay_Guida/GUIDA_CLAY.png,36,"5' 7"" ( 170 cm )","Round Lake, Illinois United States",
Ryan Hall,"Creativity, calm, jiu-jitsu",http://www.ufc.com/fighter/ryan-Hall,6-1-0,,The Wizard,,"Falls Church, Virginia United States","71""",145 lb ( 65 kg ),,//media.ufc.tv/fighter_images/Ryan_Hall/HALL_RYAN.png,33,"5' 10"" ( 177 cm )","Arlington, Virginia United States",
Rick Glenn,"Good looking, hard, strong willed",http://www.ufc.com/fighter/rick-glenn,20-5-1,,The Gladiator,,"Sacramento, California United States","70""",145 lb ( 65 kg ),"40""",//media.ufc.tv/fighter_images/Rick_Glenn/GLENN_RICK.png,29,"6' 0"" ( 182 cm )","Marshalltown, Iowa United States",
Andre Fili,"Well-rounded, dangerous everywhere",http://www.ufc.com/fighter/andre-Fili,18-5-0,,Touchy,,"Sacramento, California United States","74""",145 lb ( 65 kg ),"40""",//media.ufc.tv/fighter_images/Andre_Fili/FILI_ANDRE.png,27,"5' 11"" ( 180 cm )","Federal Way, Washington United States",
Josh Emmett,"Mental toughness, cardio, fight IQ, explosiveness, wrestling.",http://www.ufc.com/fighter/josh-emmett,13-2-0,,,,"Sacramento, California United States","70""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Josh_Emmett/EMMETT_JOSH-02-26-18.png,33,"5' 6"" ( 167 cm )","Sacramento, California United States",
Frankie Edgar,"Wrestling, cardio, boxing",http://www.ufc.com/fighter/frankie-Edgar,21-6-1,,The Answer,Political Science,"Toms River, New Jersey United States","68""",145 lb ( 65 kg ),"37""",//media.ufc.tv/fighter_images/Frankie_Edgar/1EDGAR_FRANKIE.png,36,"5' 6"" ( 167 cm )","Summit, New Jersey United States",Clarion University
Darren Elkins,"Great condition, good wrestler, good ground and pound",http://www.ufc.com/fighter/darren-Elkins,24-5-0,,The Damage,,"Portage, Indiana United States","71""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Darren_Elkins/ELKINS_DARREN.png,33,"5' 10"" ( 177 cm )","Portage, Indiana United States",
Rolando Dy,Striking,http://www.ufc.com/fighter/rolando-Dy,"9-6-1, 1NC",,Dy Incredible,,Paranaque City Philippines,"69""",145 lb ( 65 kg ),"36""",//media.ufc.tv/fighter_images//Rolando_Dy/1DY_ROLANDO.png,26,"5' 8"" ( 172 cm )",Paranaque City Phillippines,
Grant Dawson,Making people give up,http://www.ufc.com/fighter/grant-Dawson,12-1-0,,KGD,,"Lee's Summit, Missouri United States",,145 lb ( 65 kg ),,,24,"5' 10"" ( 177 cm )","Cambria, Wisconsin United States",
Adrian Diaz,"Boxing, jiu-jitsu",http://www.ufc.com/fighter/adrian-Diaz,11-5-1,,,,"Stockton, California United States",,145 lb ( 65 kg ),,,29,"5' 10"" ( 177 cm )","Stockton, California United States",
Hakeem Dawodu,"Muay Thai, kickboxing",http://www.ufc.com/fighter/hakeem-Dawodu,7-0-1,,Mean,,"Calgary, Alberta Canada","73""",145 lb ( 65 kg ),"40""",//media.ufc.tv/fighter_images/Hakeem_Dawodu/DAWODU_HAKEEM.png,26,"5' 8"" ( 172 cm )","Calgary, Alberta Canada",
Kurt Holobaugh,BJJ and Kickboxing,http://www.ufc.com/fighter/kurt-holobaugh,17-4-0,,,,"Amite, Louisiana  United States","73""",145 lb ( 65 kg ),"40""",,33,"5' 11"" ( 180 cm )",,
Yair Rodriguez,Stand-up,http://www.ufc.com/fighter/yair-rodriguez,11-2-0,,El Pantera,,"Chicago, Illinois United States","71""",145 lb ( 65 kg ),"41""",//media.ufc.tv/fighter_images/Yair_Rodriguez/RODRIGUEZ_YAIR_211.png,25,"5' 11"" ( 180 cm )","Parral, Chihuahua Mexico",
Wang Guan,Striking,http://www.ufc.com/fighter/wang-Guan,20-1-1,,The Dongbei Tiger,,Xi'an China,"71""",145 lb ( 65 kg ),"42""",//media.ufc.tv/fighter_images/Wang_Guan/WANG_GUAN.png,32,"5' 9"" ( 175 cm )","Beipiao, Liaoning China",
Luis Gomez,Judo and Kickboxing,http://www.ufc.com/fighter/luis-Raul-Gomez,4-1-0,,Tiger Junior,,"Miami , Florida United States","68""",145 lb ( 65 kg ),"38""",,23,,Ciego Avila Cuba,
Diego Rivas,Punching power and takedowns,http://www.ufc.com/fighter/diego-rivas,7-1-0,,Pitbull,,Cholchol Chile,"69""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Diego_Rivas/RIVAS_DIEGO.png,26,"5' 8"" ( 172 cm )",Temuco Chile,
Brandon  Davis,Striking,http://www.ufc.com/fighter/brandon-Davis,9-3-0,,Killer B,,"D'Iberville, Mississippi United States","72""",145 lb ( 65 kg ),"39""",,27,"5' 10"" ( 177 cm )","Atlanta , Georgia United States",
Peter Petties ,,http://www.ufc.com/fighter/peter-Petties,5-3-0,,The Joker,,"Camp Springs, Maryland United States",,145 lb ( 65 kg ),,,27,"5' 9"" ( 175 cm )","New Brunskwick, New Jersey United States",
Godofredo Pepey,Ground game,http://www.ufc.com/fighter/godofredo-Castro,14-6-0,,Pepey,,"Fortaleza, Ceara Brazil","73""",145 lb ( 65 kg ),"41""",//media.ufc.tv/fighter_images//Godofredo_Pepey/PEPEY_GODOFREDO.png,30,"5' 7"" ( 170 cm )","Fortaleza, Ceara Brazil",
Steven Peterson,"Aggressive, great conditioning, strong, well rounded",http://www.ufc.com/fighter/steven-Peterson,16-7-0,,Ocho,,"Dallas, Texas United States","70""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Steven_Peterson/PETERSON_STEVEN.png,27,"5' 9"" ( 175 cm )","Los Angeles, California United States",
BJ Penn,"Excellent submissions, strong standup, two division world champion",http://www.ufc.com/fighter/BJ-Penn,16-12-2,,The Prodigy,,"Hilo, Hawaii United States","70""",145 lb ( 65 kg ),"37""",//media.ufc.tv/fighter_images/BJ_Penn/PENN_BJ.png,39,"5' 9"" ( 175 cm )","Kailua, Hawaii United States",
Brian Ortega,"Ground game, stand-up",http://www.ufc.com/fighter/brian-Ortega,"14-0-0, 1NC",,T-City,,"Los Angeles, California United States","69""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Brian_Ortega/ORTEGA_BRIAN.png,27,"5' 8"" ( 172 cm )","Los Angeles, California United States",
Renato Moicano,Jiu-jitsu,http://www.ufc.com/fighter/renato-moicano,12-1-1,,,,Brasilia Brazil,"72""",145 lb ( 65 kg ),"42""",//media.ufc.tv/fighter_images/Renato_Moicano/1MOICANO_RENATO.png,28,"5' 11"" ( 180 cm )",Brasilia Brazil,
Sheymon Moraes,Striking,http://www.ufc.com/fighter/sheymon-Moraes,9-1-0,,,,"Los Angeles, California United States","72""",145 lb ( 65 kg ),"40""",//media.ufc.tv/fighter_images/Sheymon_Moraes/MORAES_SHEYMON.png,27,"5' 8"" ( 172 cm )","Niteroi, Rio de Janeiro Brazil",
Chad Mendes,"Wrestling, speed, power",http://www.ufc.com/fighter/chad-Mendes,17-4-0,,Money,,"Sacramento, California USA","66""",145 lb ( 65 kg ),"37""",//media.ufc.tv/fighter_images/Chad_Mendes/MENDES_CHAD_AD.png,32,"5' 6"" ( 167 cm )","Hanford, California USA",Cal Poly
Zabit Magomedsharipov,"Wrestling, Wushu-Sanda",http://www.ufc.com/fighter/zabit-Magomedsharipov,15-1-0,,,,Dagestan  Russia,"73""",145 lb ( 65 kg ),"42""",//media.ufc.tv/fighter_images/Zabit_Magomedsharipov/1MAGOMEDSHARIPOV_ZABIT.png,27,"6' 1"" ( 185 cm )","Makhachkala , Republic of Dagestan Russia",
Jason Knight,Jiu-Jitsu,http://www.ufc.com/fighter/jason-knight,20-4-0,,The Kid,,"D'Iberville, Mississippi United States","71""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Jason_Knight/KNIGHT_JASON.png,25,"5' 10"" ( 177 cm )","Jackson, Mississippi United States",
Artem Lobov,"Striking, toughness",http://www.ufc.com/fighter/artem-Lobov,"14-14-1, 1NC",,The Russian Hammer,,Dublin Ireland,"65""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Artem_Lobov/LOBOV_ARTEM.png,31,"5' 9"" ( 175 cm )",Nizhny Novgorod Russia,
Thanh  Le,Taekwondo and boxing,http://www.ufc.com/fighter/thanh-Le,7-1-0,,,,"New Orleans, Louisiana  United States","74""",145 lb ( 65 kg ),,,32,"5' 9"" ( 175 cm )",,
Gray Maynard,"Wrestling, conditioning, striking",http://www.ufc.com/fighter/gray-Maynard,"14-7-1, 1NC",,,,"Las Vegas, Nevada United States","70""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Gray_Maynard/MAYNARD_GRAY2.png,38,"5' 8"" ( 172 cm )","Phoenix, Arizona United States",Michigan State University
Ricardo Lamas,"Explosiveness, power",http://www.ufc.com/fighter/ricardo-Lamas,18-6-0,,The Bully,Exercise Science,"Chicago, Illinois United States","71""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Ricardo_Lamas/LAMAS_RICARDO.png,35,"5' 8"" ( 172 cm )","Chicago, Illinois United States",Elmhurst College
Jeremy Kennedy,"conditioning, speed, grappling",http://www.ufc.com/fighter/jeremy-kennedy,11-1-0,,JBC,,"Surrey, British Columbia Canada","71""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Jeremy_Kennedy/KENNEDY_JEREMY.png,25,"5' 11"" ( 180 cm )","Surrey, British Columbia Canada",
Song Yadong ,"Good boxing, very powerful, good ground-and-pound",http://www.ufc.com/fighter/yadong-Song,"10-3-0, 2NC",,,,Heilongjiang China,"67""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Song_Yadong/SONG_YADONG.png,20,"5' 8"" ( 172 cm )",Heilongjiang China,
Alexander Volkanovski,Power and accuracy,http://www.ufc.com/fighter/alex-volkanovski,17-1-0,,The Great,,"Windang, NSW Australia","71""",145 lb ( 65 kg ),"36""",//media.ufc.tv/fighter_images/Alex_Volkanovski/VOLKANOVSKI_ALEXANDER.png,29,"5' 6"" ( 167 cm )","Shellharbour, NSW Australia",
Chan Sung Jung,"Punching power, granite jaw, aggressiveness",http://www.ufc.com/fighter/chan-Sung-Jung,14-4-0,,The Korean Zombie,,Seoul South Korea,"72""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Chan_Sung_Jung/SUNG-JUNG_CHAN.png,31,"5' 7"" ( 170 cm )",Po-Hang South Korea,
Myles Jury,"Well-rounded, work ethic, experience",http://www.ufc.com/fighter/myles-Jury,17-2-0,,Fury,,"San Diego, California United States","73""",145 lb ( 65 kg ),"42""",//media.ufc.tv/fighter_images/Miles_Jury/JURY_MYLES.png,29,"5' 10"" ( 177 cm )","Hazel Park, Michigan United States",
Shane Young,"Tenacity, work ethic",http://www.ufc.com/fighter/shane-Young,11-4-0,,Sugar,,Auckland New Zealand,"72""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Shane_Young/YOUNG_SHANE.png,24,"5' 8"" ( 172 cm )",Auckland New Zealand,
Lazar  Stojadinovic,Boxing,http://www.ufc.com/fighter/lazar-Stojadinovic,12-6-0,,,,"Coconut Creek, Florida United States","68""",145 lb ( 65 kg ),"40""",,29,"5' 7"" ( 170 cm )","Bronx, New York United States",
Cub Swanson,"Ground game, scrambling, jiu-jitsu black belt",http://www.ufc.com/fighter/cub-Swanson,25-8-0,,,,"Palm Springs, California United States","70""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Cub_Swanson/1SWANSON_CUB.png,34,"5' 8"" ( 172 cm )","Palm Springs, California United States",
Gavin Tucker,"Left kick, speed, pace",http://www.ufc.com/fighter/gavin-Tucker,10-1-0,,The Newfoundland Terror,,"Halifax, Nova Scotia Canada",,145 lb ( 65 kg ),,//media.ufc.tv/fighter_images/Gavin_Tucker/TUCKER_GAVIN.png,31,"5' 7"" ( 170 cm )","St. Anthony , Newfoundland Canada",
Zubaira Tukhugov,Striking,http://www.ufc.com/fighter/zubaira-Tukhugov,18-4-0,,Warrior,Economy,"Grozny, Chechen Republic Russia","68""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Zubaira_Tukhugov/TUKHUGOV_ZUBAIRA.png,27,"5' 8"" ( 172 cm )","Grozny, Chechen Republic Russia",Moscow National University
Jeremy Stephens,"Heavy hands, heart, never gives up",http://www.ufc.com/fighter/jeremy-Stephens,28-14-0,,Lil' Heathen,,"San Diego, California United States","71""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Jeremy_Stephens/STEPHENS_JEREMY-02-24-18.png,31,"5' 9"" ( 175 cm )","Des Moines, Iowa United States",
Sergio Moraes,"Excellent jiu jitsu, endurance, ground and pound",http://www.ufc.com/fighter/sergio-Moraes,13-4-1,,The Panther,,Curitiba Brazil,"72""",170 lb ( 77 kg ),"42""",//media.ufc.tv/fighter_images/Sergio_Moraes/MORAES_SERGIO.png,35,"6' 0"" ( 182 cm )",São Paulo Brasil,
Mike Santiago,"Cardio, pressure, power",http://www.ufc.com/fighter/mike-Santiago,21-11-0,,Little Bully,,"Chicago, Illinois United States","69""",145 lb ( 65 kg ),"41""",//media.ufc.tv/fighter_images/Mike_Santiago/SANTIAGO_MIKE.png,28,"5' 10"" ( 177 cm )","Melrose Park, Illinois United States",
Cory Sandhagen,Striking,http://www.ufc.com/fighter/cory-Sandhagen,8-1-0,,,,"Aurora, Colorado United States","70""",145 lb ( 65 kg ),"40""",//media.ufc.tv/fighter_images/Cory_Sandhagen/SANDHAGEN_CORY.png,26,"5' 11"" ( 180 cm )","Aurora, Colorado United States",
Chas Skelly,"Wrestling, jiu-jitsu",http://www.ufc.com/fighter/chas-Skelly,17-2-0,,The Scrapper,,"Arlington, Texas United States","72""",145 lb ( 65 kg ),"42""",//media.ufc.tv/fighter_images/Chas_Skelly/SKELLY_CHAS_211.png,32,"5' 11"" ( 180 cm )","Azle, Texas Untied States",
Jack Marshman,"Durability, boxing, cardio",http://www.ufc.com/fighter/jack-harshman,22-7-0,,The Hammer,,Abertillery South Wales,"73""",170 lb ( 77 kg ),"39""",//media.ufc.tv/fighter_images/Jack_Marshman/MARSHMAN_JACK.png,28,"6' 0"" ( 182 cm )",Abertillery South Wales,
